comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,comp_only,0,0,5585,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,comp_only,0,1,5585,0.46673927255004266,0.46673927255004266,0.0,0.021128021486123544
2,0,0.4,0.0,2,0,comp_only,0,2,5585,0.2773573426614537,0.2773573426614537,0.0,0.019337511190689348
3,0,0.6000000000000001,0.0,3,0,comp_only,0,3,5585,0.19306594553861994,0.19306594553861994,0.0,0.018084153983885406
4,0,0.8,0.0,4,0,comp_only,0,4,5585,0.14799095312329913,0.14799095312329913,0.0,0.01736794986571173
5,0,1.0,0.0,5,0,comp_only,0,5,5585,0.11969975424527922,0.11969975424527922,0.0,0.01647269471799463
0,1,0.0,0.2,1,1,comp_only,1,1,5585,0.653858483968668,0.46673927255004266,0.18711921141862528,0.43666229488265906
1,1,0.2,0.2,2,1,comp_only,1,2,5585,0.41119816370967666,0.2773573426614537,0.133840821048223,0.21771477606406203
2,1,0.4,0.2,3,1,comp_only,1,3,5585,0.25663249982945396,0.19306594553861994,0.06356655429083403,0.11835348367770057
3,1,0.6000000000000001,0.2,4,1,comp_only,1,4,5585,0.18493253850335178,0.14799095312329913,0.03694158538005267,0.0782666076472433
4,1,0.8,0.2,5,1,comp_only,1,5,5585,0.14343558999234807,0.11969975424527922,0.02373583574706885,0.05882946208311241
5,1,1.0,0.2,6,1,comp_only,1,6,5585,0.11734510187167059,0.10469595876112661,0.012649143110543977,0.04468717227914941
0,2,0.0,0.4,2,2,comp_only,2,2,5585,0.5463141122164271,0.2773573426614537,0.26895676955497344,0.5115299564873035
1,2,0.2,0.4,3,2,comp_only,2,3,5585,0.37394446850977753,0.19306594553861994,0.1808785229711576,0.3135304649969718
2,2,0.4,0.4,4,2,comp_only,2,4,5585,0.2475958177815184,0.14799095312329913,0.0996048646582193,0.19149491812899888
3,2,0.6000000000000001,0.4,5,2,comp_only,2,5,5585,0.1810170165892457,0.11969975424527922,0.0613172623439665,0.12933124634259066
4,2,0.8,0.4,6,2,comp_only,2,6,5585,0.14139085158726877,0.10469595876112661,0.036694892826142154,0.09345385872618206
5,2,1.0,0.4,7,2,comp_only,2,7,5585,0.11644506298552938,0.09422200815315152,0.02222305483237785,0.07218015496107137
0,3,0.0,0.6000000000000001,3,3,comp_only,3,3,5585,0.4632904609666941,0.19306594553861994,0.270224515428074,0.4870784954216346
1,3,0.2,0.6000000000000001,4,3,comp_only,3,4,5585,0.3335146926534424,0.14799095312329913,0.18552373953014328,0.3332718971610971
2,3,0.4,0.6000000000000001,5,3,comp_only,3,5,5585,0.23042318852269286,0.11969975424527922,0.11072343427741364,0.21868553452190012
3,3,0.6000000000000001,0.6000000000000001,6,3,comp_only,3,6,5585,0.17276315857242963,0.10469595876112661,0.068067199811303,0.15252262127228092
4,3,0.8,0.6000000000000001,7,3,comp_only,3,7,5585,0.1362452762697614,0.09422200815315152,0.04202326811660986,0.11230527966436095
5,3,1.0,0.6000000000000001,8,3,comp_only,3,8,5585,0.11401847123563204,0.08804679389454301,0.025971677341089006,0.08851241909700089
0,4,0.0,0.8,4,4,comp_only,4,4,5585,0.399976894292529,0.14799095312329913,0.2519859411692298,0.45281562450985435
1,4,0.2,0.8,5,4,comp_only,4,5,5585,0.29919624222706875,0.11969975424527922,0.17949648798178952,0.33119047894588605
2,4,0.4,0.8,6,4,comp_only,4,6,5585,0.21601994129384505,0.10469595876112661,0.11132398253271843,0.23090300568397773
3,4,0.6000000000000001,0.8,7,4,comp_only,4,7,5585,0.16473475482298744,0.09422200815315152,0.0705127466698359,0.16651438935292934
4,4,0.8,0.8,8,4,comp_only,4,8,5585,0.13181534501629166,0.08804679389454301,0.04376855112174864,0.12532550082082955
5,4,1.0,0.8,9,4,comp_only,4,9,5585,0.11159894114898043,0.08066900819692359,0.030929932952056847,0.10133581630063604
